index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,178.89,23.49,0.35,-0.04,-0.96,-0.89,0.13,0.13,483.66
1,101.46,54.12,0.37,-0.58,0.23,0.12,0.89,0.16,919.57
2,149.52,114.54,0.53,-0.05,0.05,0.10,-0.46,0.51,964.51
3,44.97,32.53,0.60,-0.49,-0.97,0.62,-0.13,-0.01,668.82
4,170.09,89.50,-0.37,-0.73,-0.48,-0.58,-0.74,-0.21,525.79
5,199.08,103.34,-0.69,-0.80,-0.83,0.07,0.35,0.03,914.14
6,100.80,73.51,-0.45,0.93,0.52,-0.83,-0.57,0.39,394.29
7,105.53,95.87,0.14,-0.38,-0.85,-0.02,-0.24,-0.66,367.03
8,192.00,117.13,-0.34,0.88,0.79,0.81,-0.10,-0.91,556.46
9,163.77,19.15,-0.49,-0.99,0.84,-0.65,0.35,-0.52,960.88
10,117.89,46.63,0.19,-0.42,0.15,-0.11,0.28,-0.70,627.12
11,194.99,110.19,0.82,-0.46,0.79,0.98,-0.78,0.86,575.09
12,173.39,34.88,0.49,0.88,0.55,-0.94,-0.80,-0.29,673.33
13,58.09,9.15,0.45,-0.06,-0.73,-0.32,0.88,-0.74,413.45
14,125.50,55.88,-0.26,-0.88,0.70,-0.07,-0.49,0.87,312.81
15,155.14,128.21,-0.23,0.51,-0.50,0.36,0.64,-0.09,723.33
16,177.01,115.67,-0.70,-0.19,0.51,0.48,-0.73,-0.87,957.10
17,180.55,156.40,0.74,0.44,0.74,-0.05,0.54,0.12,629.00
18,125.55,53.12,-0.05,0.08,0.65,0.53,-0.66,0.27,985.59
19,95.65,43.48,-0.42,0.27,0.02,-0.56,0.20,-0.51,498.80
20,125.10,5.10,-0.21,0.84,-0.62,0.85,0.77,-0.07,944.62
21,90.75,83.39,-0.97,-0.13,0.10,0.68,0.31,-0.62,500.89
22,153.82,46.03,-0.27,0.94,-0.36,-0.81,0.37,-0.09,356.84
23,127.28,10.79,-0.75,0.39,0.71,0.26,0.93,-0.70,608.00
24,111.20,44.22,-0.92,-0.81,0.44,0.72,0.75,0.35,602.59
25,170.03,39.97,-0.87,-0.84,0.12,-0.34,0.34,0.04,530.23
26,186.15,94.20,-0.88,-0.58,0.80,0.65,-0.21,0.84,544.92
27,50.83,32.36,0.65,-0.92,-0.21,0.09,0.90,-0.79,866.94
28,190.91,17.62,0.21,-0.60,0.70,-0.97,-0.84,-0.74,782.45
29,183.18,164.84,0.74,0.83,-0.78,0.20,-0.35,-0.94,942.43
30,60.87,40.51,-0.26,-0.76,0.13,0.27,0.16,0.02,991.75
31,85.71,84.24,-0.88,-0.52,-0.68,0.14,-0.84,0.97,423.45
32,187.08,154.96,0.96,-0.69,0.41,0.01,0.16,0.17,957.38
33,197.96,39.76,0.57,0.48,0.91,-0.02,-0.68,-0.89,679.33
34,192.50,171.58,0.41,-0.90,0.65,0.98,0.51,-0.46,361.34
35,164.64,131.22,-0.51,0.47,0.62,-0.98,-0.23,-0.78,791.67
36,194.86,5.96,-0.50,0.70,-0.97,-0.12,0.91,0.04,792.09
37,46.34,41.93,0.49,0.18,0.19,-0.29,0.40,-0.81,992.66
38,80.94,44.27,0.93,0.91,-0.79,0.08,-0.58,-0.70,514.43
39,182.98,97.24,-0.60,-0.13,-0.76,0.09,-0.09,0.14,698.10
40,46.14,39.39,-0.40,0.60,-0.41,-0.26,-0.42,0.78,762.95
41,183.03,162.62,0.40,0.98,0.14,0.14,-0.90,0.11,943.56
42,192.69,159.27,-0.15,-0.97,-0.49,0.31,0.19,0.73,861.07
43,108.26,73.82,-0.94,-0.50,0.71,0.25,0.35,-0.60,722.76
44,149.02,8.71,0.57,-0.38,-0.12,0.22,-0.17,-0.50,716.54
45,174.53,99.88,-0.93,0.52,0.72,0.75,0.09,0.10,731.50
46,114.50,19.50,-0.84,0.87,-0.19,-0.73,-0.10,-0.20,267.03
47,145.32,113.22,-0.62,0.47,-0.28,-0.12,0.77,-0.99,939.92
48,84.43,36.34,0.58,0.07,0.65,0.03,0.70,-0.42,805.87
49,102.26,52.39,0.65,0.15,0.60,0.61,0.06,0.88,717.45
50,103.04,98.68,-0.47,-0.01,0.48,-0.25,-0.17,0.21,964.28
51,95.63,68.40,0.55,0.65,-0.76,0.52,0.25,0.68,772.25
52,52.34,30.11,-0.02,-0.97,0.58,-0.61,0.06,-0.80,168.82
53,169.04,143.16,-0.67,0.09,0.05,0.90,-0.76,-0.71,754.33
54,170.78,145.45,0.49,0.09,0.41,-0.34,0.00,0.37,472.54
55,138.69,64.63,-0.62,-0.40,-0.40,0.18,-0.13,0.88,992.65
