index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,179.62,106.71,0.89,0.56,0.54,0.14,0.56,-0.14,713.26
1,65.89,53.46,-0.05,0.58,-0.82,-0.60,-0.18,0.99,977.54
2,115.48,53.46,0.46,0.57,0.13,-0.28,0.86,0.94,760.62
3,160.03,136.01,0.90,-0.17,0.57,0.39,-0.71,-0.55,738.76
4,171.41,111.04,0.48,0.79,0.99,0.09,0.12,-0.39,943.15
5,139.84,50.35,-0.12,0.18,0.74,-0.09,-0.72,0.08,699.57
6,125.68,9.74,-0.20,-0.34,-0.94,-0.16,0.76,-0.50,979.15
7,136.87,34.75,-0.38,0.38,0.78,0.14,-0.51,0.92,800.54
8,190.11,71.52,-0.04,0.79,0.00,0.15,-0.68,0.40,888.02
9,98.05,50.18,-0.68,0.96,0.17,0.25,0.41,-0.89,762.89
10,164.77,149.08,0.78,0.50,0.15,-0.19,-0.39,-0.69,724.09
11,177.53,16.89,0.12,0.60,-0.95,0.19,0.57,-0.22,782.72
12,84.23,74.69,-0.39,0.63,0.67,-0.20,0.09,0.80,851.36
13,44.44,17.10,-0.93,0.14,0.28,-0.71,0.85,-0.21,784.15
14,182.48,180.27,-0.80,-0.66,-0.73,0.19,0.57,0.73,822.09
15,113.42,52.25,-0.45,-0.66,0.35,0.27,-0.41,-0.33,852.94
16,161.59,23.06,0.02,-0.28,-0.79,-0.74,-0.34,0.19,693.16
17,160.14,56.26,0.49,0.01,0.76,-0.61,0.05,-0.17,950.82
18,129.53,124.95,-0.65,0.91,-0.03,0.45,0.02,-0.87,844.67
19,195.38,119.75,0.66,-0.57,0.81,0.21,0.75,-0.70,868.10
20,80.41,52.28,0.97,-0.81,-0.04,-0.42,-0.67,0.29,940.23
21,132.36,37.89,0.99,0.41,0.83,-0.85,-0.15,-0.53,887.57
22,138.14,67.71,-0.85,0.56,-0.01,0.46,-0.20,0.75,764.65
23,195.64,175.75,-0.26,-0.53,0.26,0.19,0.49,0.02,946.57
24,163.34,159.07,0.69,-0.75,-0.90,-0.64,-0.56,0.54,747.35
25,187.48,91.16,0.06,-0.57,0.80,0.40,0.02,0.62,905.87
26,127.48,27.35,0.38,0.75,0.36,-0.66,-0.30,-0.00,514.46
27,52.67,21.89,0.21,-0.75,-0.29,-0.60,-0.03,0.92,495.93
28,145.79,38.97,0.74,-0.63,0.15,0.72,0.56,-0.01,990.46
29,171.59,103.72,-0.27,-0.23,0.67,-0.16,0.15,-0.16,853.88
30,184.92,144.79,0.45,-0.84,-0.89,0.05,0.04,-0.81,976.23
31,120.16,115.71,0.46,0.58,-0.72,0.73,0.60,-0.70,985.30
32,163.34,96.28,-0.37,0.91,0.66,-0.32,-0.51,-0.01,806.08
33,117.62,13.47,-0.45,-0.53,-0.27,-0.03,-0.19,-0.43,753.46
34,128.09,49.37,0.01,-0.51,-0.87,-0.49,-0.25,0.98,831.02
35,160.94,38.07,-0.70,0.64,-0.06,0.38,0.14,0.82,778.73
36,195.81,40.70,0.12,-0.60,0.61,0.09,-0.39,0.78,599.95
37,177.87,114.02,-0.09,0.01,0.16,-0.21,-0.30,-0.77,413.86
38,157.71,58.56,-0.26,0.52,-0.69,-0.40,-0.15,-0.14,462.94
39,88.25,11.10,0.33,-0.94,-0.40,-0.20,0.88,-0.56,833.79
40,55.74,43.96,-0.22,-0.83,0.65,-0.33,-0.68,0.80,911.95
41,66.14,30.30,-0.14,0.25,0.54,-0.58,0.71,-0.81,842.49
42,149.54,86.67,0.68,-0.14,0.73,-0.65,0.93,0.11,646.00
43,141.45,109.63,0.58,-0.30,0.05,-0.78,-0.58,0.01,901.41
44,55.78,11.55,0.40,-0.22,-0.04,0.16,-0.69,-0.28,350.96
45,125.33,12.41,-0.96,0.63,-0.94,-0.27,0.32,0.58,987.83
46,162.07,102.01,-0.90,0.19,-0.27,-0.28,-0.22,0.37,478.84
47,163.02,30.04,0.31,-0.64,0.70,-0.60,0.35,0.62,572.15
48,118.68,97.53,0.44,0.99,-0.86,0.05,0.49,-0.39,685.78
49,136.91,90.15,-0.69,-0.30,-0.95,-0.80,-0.19,0.32,824.20
50,65.34,8.79,0.43,0.99,0.68,0.45,-0.52,-0.82,470.24
51,137.07,61.78,0.08,0.24,-0.95,-0.94,0.68,-0.02,716.27
52,151.37,81.17,-0.04,-0.42,0.89,-0.37,-0.39,-0.12,960.64
53,165.28,32.95,0.14,0.04,-0.22,0.14,-0.08,0.69,961.54
54,187.82,185.17,-0.75,0.18,-0.54,0.03,0.02,-0.47,977.54
55,58.44,10.74,-0.25,0.16,-0.51,-0.23,0.51,-0.52,926.17
56,151.57,120.97,-0.85,0.36,0.48,0.61,0.92,-0.62,946.50
57,170.81,18.86,-0.99,0.23,0.35,0.94,-0.44,0.71,993.44
58,110.27,12.04,-0.69,-0.77,0.02,0.02,0.37,-0.55,806.52
59,119.97,91.27,0.82,0.69,-0.06,0.32,0.52,-0.93,782.58
60,103.74,96.10,0.14,0.88,-0.51,-0.73,0.07,0.25,888.16
61,191.15,27.96,0.85,0.41,0.37,-0.50,0.63,0.74,881.00
62,187.09,44.49,-0.67,0.42,0.17,0.42,0.69,0.81,595.11
63,116.75,14.32,-0.85,-0.70,-0.76,0.58,-0.33,0.20,886.42
64,170.32,56.87,-0.84,0.06,-0.27,0.22,-0.06,-0.54,851.30
65,96.65,22.03,-0.96,-0.55,-0.54,-0.81,0.85,-0.41,943.46
66,113.34,81.27,0.03,-0.78,0.59,-0.10,-0.98,-0.44,662.07
67,174.21,153.49,-0.00,0.34,-0.16,-0.25,-0.72,-0.00,862.30
68,167.05,39.84,-0.78,0.77,-0.40,0.23,-0.82,-0.29,999.54
69,185.18,96.87,-0.89,-0.93,-0.88,0.18,0.42,-0.03,720.75
70,116.55,64.84,-0.72,0.64,0.92,-0.64,0.84,-0.07,881.74
71,121.66,10.13,-0.77,-0.45,-0.79,0.76,-0.53,-0.62,844.86
72,101.43,32.21,-0.92,0.67,-0.95,0.88,0.81,0.41,917.98
73,170.11,101.99,-0.16,0.36,-0.67,0.19,0.36,0.10,983.94
74,139.41,29.27,-0.14,-0.65,0.16,-0.41,0.43,-0.51,569.55
75,85.95,41.94,0.98,-0.41,0.27,0.78,0.23,-0.95,828.89
76,120.86,107.98,-0.54,-0.67,0.71,-0.85,0.28,-0.01,457.08
77,114.25,40.64,0.74,0.49,-0.79,-0.41,0.79,-0.97,639.15
78,131.37,68.18,-0.01,-0.59,0.52,-0.34,-0.81,-0.34,801.75
79,102.24,56.16,-0.72,-0.03,0.17,-0.36,-0.95,-0.64,832.34
80,119.61,5.77,0.91,0.06,0.22,0.11,0.59,-0.56,303.59
81,190.00,162.18,-0.37,0.87,-0.76,0.29,-0.05,-0.20,672.89
82,168.85,10.77,0.18,0.62,0.66,-0.67,-0.64,-0.16,804.11
83,116.92,50.42,0.67,-0.20,0.29,-0.84,0.29,0.40,789.29
84,146.60,38.91,-0.55,0.30,0.05,-0.59,0.64,-0.28,752.71
85,80.62,49.90,-0.98,0.04,0.92,-0.28,-0.37,-0.42,866.20
86,128.04,91.86,-0.28,0.33,-0.18,0.00,0.18,0.67,901.94
87,170.84,30.67,0.96,-0.31,-0.43,-0.22,-0.86,-0.49,966.67
88,91.87,32.13,0.07,0.83,-0.25,0.86,0.67,-0.60,406.48
89,122.37,45.89,0.40,-0.87,-0.87,-0.12,-0.25,0.12,831.31
90,120.93,13.38,0.05,-0.31,-0.65,-0.51,-0.53,0.93,994.83
91,89.52,51.10,0.50,0.45,0.68,-0.21,0.05,0.88,959.33
92,128.78,24.11,0.46,0.27,-0.17,-0.34,0.12,-0.75,368.26
93,189.17,99.59,-0.38,-0.23,0.24,0.84,-0.18,0.54,567.86
94,165.11,83.00,0.38,-0.74,-0.80,-0.05,-0.04,0.32,889.28
95,116.65,39.69,-0.39,0.17,0.48,0.30,-0.07,0.46,945.10
96,112.89,79.34,-0.91,-0.67,0.92,0.48,0.27,0.10,839.67
97,173.25,10.78,-0.80,-0.86,0.82,0.01,0.80,-0.68,923.01
98,190.07,157.07,0.98,-0.01,0.50,-0.56,0.17,0.72,707.04
99,172.31,79.41,-0.83,-0.14,-0.16,0.24,-0.38,0.69,940.99
100,126.78,18.25,-0.98,-0.26,-0.19,0.62,-0.13,-0.10,276.58
101,122.41,66.21,0.01,0.98,-0.10,-0.62,0.64,-0.87,814.40
102,85.96,80.47,0.43,0.75,-0.10,-0.87,-0.18,0.09,549.42
103,128.65,91.90,0.44,0.20,-0.16,0.05,-0.17,0.40,928.89
104,181.00,73.80,0.36,-0.79,0.50,-0.88,0.06,-0.71,712.13
105,95.94,12.03,0.77,-0.69,0.63,-0.22,0.35,-0.74,974.26
106,197.05,121.94,0.58,0.36,0.08,0.52,0.71,-0.26,842.39
107,101.45,87.95,0.48,0.97,-0.14,0.35,-0.50,0.33,537.98
108,56.19,20.35,0.55,0.40,-0.80,0.10,-0.61,-0.28,938.15
109,194.05,20.33,-0.81,0.20,0.41,0.62,-0.64,0.93,787.18
110,188.21,182.59,0.14,-0.69,0.10,-0.20,-0.03,0.51,845.88
111,77.95,14.61,0.64,0.02,-0.89,-0.49,-0.75,0.72,198.00
112,179.14,102.94,0.47,-0.63,0.47,-0.46,-0.40,-0.67,789.07
113,173.75,64.59,-0.33,-0.60,0.66,-0.90,0.50,-0.69,338.28
114,83.97,13.03,0.24,0.61,-0.48,-0.21,-0.46,0.71,805.66
115,159.72,57.19,0.47,-0.81,-0.70,-0.40,-0.76,0.35,924.28
116,181.36,88.36,0.36,-0.65,-0.94,-0.06,-0.93,0.88,811.59
117,149.70,107.99,-0.80,-0.97,0.74,-0.81,0.74,0.75,263.72
118,178.61,99.72,0.21,-0.01,-0.14,-0.19,0.86,0.43,786.87
119,100.15,19.79,0.56,0.71,-0.43,-0.72,-0.73,0.16,610.53
120,59.33,55.99,0.17,-0.25,-0.75,0.56,0.36,-0.59,819.92
121,102.37,60.85,0.53,-0.22,0.15,0.19,0.33,-0.28,912.86
122,174.45,101.81,-0.97,0.72,0.91,0.97,-0.25,-0.95,986.87
123,113.08,108.23,-0.20,0.95,-0.12,0.62,0.56,-0.63,806.23
124,144.55,119.98,0.98,-0.10,0.31,0.88,0.96,-0.02,870.95
125,116.58,98.43,0.01,0.41,-0.82,-0.91,-0.19,0.41,861.98
126,172.75,166.65,0.63,0.86,0.56,0.51,-0.50,0.23,493.12
127,169.17,71.34,0.50,-0.50,0.44,0.79,0.79,0.54,368.64
128,190.40,57.39,0.80,-0.35,0.61,0.95,0.73,-0.90,515.90
129,148.39,113.19,0.30,0.34,-0.94,0.68,-0.32,-0.02,792.81
130,163.16,37.50,0.54,0.47,-0.36,0.13,-0.87,0.07,878.53
131,86.78,50.90,0.68,-0.56,0.28,0.42,-0.92,0.78,670.97
132,119.06,72.46,0.56,-0.87,0.27,0.47,0.81,-0.40,470.36
133,105.30,42.98,0.90,-0.03,-0.93,-0.32,-0.65,-0.18,808.51
134,160.57,85.97,-0.20,-0.41,0.52,0.47,0.39,-0.80,695.69
135,129.11,101.68,0.73,0.84,-0.27,-0.64,-0.49,0.57,551.35
136,43.38,25.21,-0.88,-0.97,0.15,0.26,-0.16,-0.71,949.64
137,156.06,91.71,0.88,-0.62,-0.67,-0.36,0.29,-0.89,403.69
138,140.16,14.02,-0.30,-0.87,0.68,0.40,-0.70,-0.71,834.12
139,141.37,107.69,-0.35,0.55,0.34,0.84,-0.66,-0.60,596.71
140,193.89,35.35,-0.35,-0.64,0.56,0.73,-0.35,-0.46,566.37
141,169.62,14.11,0.15,0.27,0.17,0.13,0.13,0.67,892.92
142,168.01,45.74,-0.87,0.69,-0.20,-0.78,0.92,-0.68,908.61
143,149.70,17.78,-0.61,0.44,-0.89,0.89,-0.86,0.88,967.99
144,193.44,114.61,-0.12,0.31,0.60,0.09,0.89,-0.44,872.12
145,121.17,51.19,-0.82,-0.48,-0.22,-0.09,-0.62,-0.60,825.29
146,148.15,79.84,0.94,0.88,0.29,-0.15,0.62,-0.64,747.81
147,152.70,28.60,0.21,-0.46,0.06,-0.46,-0.82,0.02,734.80
148,132.08,61.84,-0.82,0.26,-0.88,0.82,0.69,-0.08,753.12
149,81.44,49.14,0.64,0.01,0.46,0.51,-0.37,0.27,737.25
150,135.90,130.14,0.13,-0.62,0.67,-0.29,0.93,-0.76,807.64
151,127.20,65.92,-0.14,-0.91,0.21,-0.45,0.93,0.78,905.53
152,174.33,20.26,-0.42,0.63,-0.54,-0.34,0.96,0.42,708.33
153,140.42,17.30,-0.30,0.57,-0.75,-0.72,0.97,0.08,384.10
154,94.60,88.01,0.89,0.88,0.44,-0.67,-0.82,0.90,955.11
155,154.73,86.91,-0.71,-0.76,0.11,0.70,-0.80,0.73,411.37
156,134.91,92.05,0.59,-0.66,-0.33,-0.36,0.23,-0.09,788.64
157,155.62,118.43,-0.14,0.14,0.36,0.61,-0.36,0.50,755.50
158,199.41,180.62,-0.27,-0.71,0.52,-0.73,0.52,-0.12,814.58
159,181.16,40.12,0.53,-0.59,0.21,-0.68,-0.70,-0.09,830.16
160,198.55,178.18,-0.87,0.67,0.38,-0.85,-0.77,0.43,661.29
161,104.07,41.59,-0.85,-0.27,-0.44,-0.87,-0.15,-0.15,847.88
162,110.83,51.26,0.58,-0.32,0.10,-0.63,-0.76,0.79,960.86
163,81.73,24.02,0.63,0.42,-0.31,-0.26,-0.56,0.13,892.48
164,180.66,98.10,-0.19,0.34,-0.76,-0.67,-0.74,-0.87,840.10
165,72.45,15.80,0.43,-0.34,0.49,-0.38,-0.59,0.20,308.82
166,178.60,173.81,-0.38,0.47,-0.92,-0.50,0.71,-0.32,890.01
167,159.68,93.69,-0.70,-0.84,-0.85,-0.94,0.12,0.04,709.67
168,183.23,157.21,-0.26,-0.52,-0.85,0.11,-0.05,-0.93,622.70
169,172.29,11.53,-0.62,0.58,-0.69,0.22,0.69,-0.73,670.46
170,190.29,120.56,-0.47,-0.96,-0.66,0.52,0.19,0.14,787.59
171,120.61,96.49,-0.65,0.48,0.94,-0.87,-0.79,-0.71,618.26
172,163.99,141.54,0.69,-0.75,0.09,-0.58,0.48,0.90,575.33
173,132.11,77.39,0.92,-0.66,-0.58,0.80,0.62,0.22,994.03
