index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,67.42,11.64,0.91,0.87,0.75,0.76,0.89,0.89,483.66
1,39.62,22.63,0.91,0.80,0.90,0.88,0.98,0.89,919.57
2,56.88,44.32,0.93,0.86,0.88,0.88,0.81,0.93,964.51
3,19.35,14.88,0.94,0.81,0.75,0.95,0.85,0.87,668.82
4,64.26,35.33,0.83,0.78,0.81,0.80,0.78,0.84,525.79
5,74.67,40.30,0.79,0.77,0.77,0.88,0.91,0.87,914.14
6,39.39,29.59,0.82,0.98,0.93,0.77,0.80,0.92,394.29
7,41.09,37.62,0.89,0.82,0.77,0.87,0.84,0.79,367.03
8,72.13,45.25,0.83,0.98,0.97,0.97,0.86,0.76,556.46
9,61.99,10.08,0.81,0.75,0.97,0.79,0.91,0.81,960.88
10,45.52,19.94,0.89,0.82,0.89,0.86,0.90,0.79,627.12
11,73.20,42.76,0.97,0.81,0.97,0.99,0.78,0.97,575.09
12,65.45,15.73,0.93,0.98,0.94,0.76,0.77,0.84,673.33
13,24.06,6.49,0.92,0.86,0.78,0.83,0.98,0.78,413.45
14,48.26,23.27,0.84,0.76,0.96,0.86,0.81,0.98,312.81
15,58.90,49.23,0.84,0.93,0.81,0.91,0.95,0.86,723.33
16,66.75,44.73,0.79,0.85,0.93,0.93,0.78,0.76,957.10
17,68.02,59.35,0.96,0.92,0.96,0.86,0.94,0.88,629.00
18,48.27,22.27,0.86,0.88,0.95,0.93,0.79,0.90,985.59
19,37.54,18.81,0.82,0.90,0.87,0.80,0.89,0.81,498.80
20,48.11,5.04,0.84,0.97,0.79,0.97,0.96,0.86,944.62
21,35.78,33.14,0.75,0.85,0.88,0.95,0.91,0.79,500.89
22,58.42,19.73,0.84,0.98,0.83,0.77,0.91,0.86,356.84
23,48.89,7.08,0.78,0.92,0.96,0.90,0.98,0.78,608.00
24,43.12,19.08,0.76,0.77,0.92,0.96,0.96,0.91,602.59
25,64.24,17.55,0.76,0.77,0.88,0.83,0.91,0.88,530.23
26,70.03,37.02,0.76,0.80,0.97,0.95,0.84,0.97,544.92
27,21.45,14.82,0.95,0.76,0.84,0.88,0.98,0.77,866.94
28,71.74,9.53,0.90,0.80,0.95,0.75,0.77,0.78,782.45
29,68.96,62.38,0.96,0.97,0.78,0.89,0.83,0.76,942.43
30,25.06,17.75,0.84,0.78,0.89,0.90,0.89,0.87,991.75
31,33.97,33.45,0.76,0.81,0.79,0.89,0.77,0.99,423.45
32,70.36,58.83,0.99,0.79,0.92,0.87,0.89,0.89,957.38
33,74.27,17.48,0.94,0.93,0.98,0.87,0.79,0.76,679.33
34,72.31,64.80,0.92,0.76,0.95,0.99,0.93,0.81,361.34
