index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,64.89,64.63,0.39,-0.93,-0.46,0.18,0.73,-0.55,654.61
1,86.34,15.43,-0.42,0.95,0.93,0.26,-0.11,-0.66,937.53
2,54.51,50.61,-0.04,-0.77,-0.22,-0.59,-0.27,0.83,841.20
3,18.74,7.55,0.61,0.65,-0.92,0.17,0.24,0.74,900.33
4,23.51,21.44,0.87,-0.57,0.19,-0.09,0.60,0.49,909.71
5,34.57,22.52,0.91,-0.85,0.81,0.75,-0.40,0.33,854.42
6,53.31,43.87,0.01,0.87,-0.25,0.04,-0.49,0.34,627.65
7,94.77,86.28,-0.27,-0.17,0.50,-0.39,-0.51,-0.46,828.83
8,71.53,13.46,0.73,-0.26,0.98,0.56,0.19,-0.97,857.61
9,94.24,70.05,0.30,0.31,-0.37,0.01,0.21,-0.16,876.35
10,71.61,61.13,-0.53,-0.75,-0.71,0.51,0.85,0.56,944.76
11,55.05,5.99,0.10,0.22,-0.41,-0.77,-0.14,0.47,684.72
12,79.26,18.94,-0.15,-0.26,-0.56,0.49,-0.45,-0.53,487.22
13,96.15,14.74,-0.71,0.15,-0.29,-0.06,0.22,-0.84,856.46
14,98.95,66.49,0.38,0.38,-0.11,-0.51,0.85,0.98,862.76
15,22.43,12.48,0.43,0.53,-0.14,0.41,-0.35,-0.44,990.32
16,98.60,18.28,0.46,-0.15,-0.21,0.08,0.98,-0.70,964.60
17,72.78,66.98,0.25,0.59,-0.19,0.37,0.62,-0.39,624.88
18,49.25,48.39,-0.89,-0.17,0.89,0.36,-0.55,0.85,561.96
19,31.05,24.46,0.49,-0.91,-0.02,0.44,-0.44,-0.88,846.96
20,57.04,55.86,0.44,0.69,0.18,-0.90,0.58,-0.57,358.23
21,45.40,43.14,-0.87,0.32,0.53,0.24,0.24,-0.18,773.29
22,98.63,88.02,-0.10,0.96,-0.63,0.57,0.27,0.20,997.26
23,97.61,20.57,0.93,-0.08,0.34,-0.47,0.33,0.42,668.15
24,46.00,35.06,0.87,-0.96,0.58,-0.46,0.81,-0.05,800.45
25,77.88,40.71,0.36,-0.40,-0.91,-0.16,-0.32,0.58,881.42
26,83.96,12.53,-0.38,-0.58,0.07,0.15,-0.82,0.18,883.56
27,78.41,64.62,-0.01,0.31,-0.99,-0.39,0.65,-0.93,826.93
28,51.35,25.24,0.32,0.06,0.15,-0.34,-0.89,-0.49,758.18
29,64.69,25.02,0.60,0.78,-0.63,-0.23,-0.15,0.88,603.40
30,75.89,34.13,-0.11,0.22,0.33,0.05,0.60,0.94,242.51
31,96.29,61.15,0.95,0.06,-0.65,-0.96,0.02,-0.10,855.19
32,74.63,8.48,0.98,-0.65,-0.11,-0.57,0.27,-0.55,840.44
33,82.66,51.47,-0.59,0.12,0.44,-0.40,0.69,-0.87,894.85
34,79.55,27.61,-0.99,-0.06,-0.39,0.80,0.23,-0.49,699.57
35,73.70,5.18,0.97,-0.66,-0.54,-0.21,0.06,-0.88,488.85
36,91.59,60.72,-0.15,-0.75,-0.77,0.05,-0.60,0.02,663.10
37,43.84,26.96,0.36,-0.70,0.45,-0.75,0.26,0.71,432.70
38,94.06,18.89,-0.92,0.52,-0.84,0.68,0.67,0.63,905.37
39,85.44,41.95,0.66,-0.45,0.84,0.09,0.27,0.68,909.34
40,67.18,40.66,0.49,0.82,-0.14,0.88,-0.14,-0.61,965.33
41,91.97,75.38,-0.08,-0.72,0.75,0.38,0.41,-0.37,240.04
42,72.44,69.80,0.12,-0.79,-0.03,-0.74,-0.74,0.40,874.71
43,51.93,34.44,0.04,-0.85,0.98,0.00,-0.34,-0.61,912.56
44,18.11,10.26,-0.08,-0.09,0.87,-0.89,0.66,0.79,823.90
45,89.11,63.25,-0.08,0.80,-0.30,-0.43,-0.02,0.21,444.11
46,78.99,21.77,-0.45,0.14,0.33,0.56,-0.50,0.64,810.42
47,51.42,23.26,0.59,0.60,0.01,0.32,-0.37,0.46,948.30
48,96.61,14.41,0.55,-0.70,0.51,0.40,0.21,0.26,857.01
49,54.57,54.37,0.15,0.96,-0.03,-0.87,0.45,0.70,710.36
50,45.88,36.01,0.50,0.59,0.88,0.06,0.96,-0.62,688.76
51,65.82,37.51,0.12,0.10,0.33,-0.23,0.27,-0.38,776.31
52,61.73,30.63,-0.64,-0.22,-0.19,0.85,-0.92,0.58,825.49
53,57.99,46.95,-0.11,-0.68,0.56,-0.86,-0.15,-0.91,954.46
54,59.69,19.19,-0.89,0.20,-0.11,0.51,0.61,-0.64,838.65
55,96.08,12.06,-0.92,-0.76,0.43,0.84,-0.73,0.94,838.72
56,23.57,20.49,-0.53,-0.04,0.84,0.01,0.83,0.42,918.12
57,90.08,43.54,-0.85,0.61,-0.55,-0.93,0.85,0.03,861.90
58,97.22,88.24,-0.45,0.12,-0.04,0.49,0.92,-0.28,401.15
59,17.82,11.14,-0.33,0.97,0.06,-0.29,-0.22,0.36,828.98
60,68.38,44.43,-0.75,-0.96,0.18,0.35,-0.62,-0.98,989.80
61,77.93,18.74,0.48,0.19,-0.44,-0.58,-0.71,-0.54,590.17
62,98.19,7.34,-0.66,0.01,0.38,-0.11,-0.30,-0.42,750.04
63,77.40,31.26,-0.13,0.68,0.96,0.50,0.50,-0.76,457.22
64,14.22,7.34,-0.82,-0.98,0.74,-0.72,-0.21,-0.73,769.36
65,11.78,7.64,-0.24,0.18,-0.45,-0.41,0.13,0.53,282.21
66,37.52,12.28,0.50,0.57,0.71,-0.83,0.92,0.69,610.99
67,99.57,63.00,-0.96,-0.45,0.32,-0.50,-0.25,-0.27,385.39
68,6.65,5.96,0.30,-0.98,-0.96,0.22,0.66,0.84,874.06
69,55.54,28.06,0.22,0.23,-0.97,0.72,-0.44,-0.93,756.99
