index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,127.85,75.78,0.34,0.93,0.75,-0.04,-0.64,-0.56,736.63
1,193.55,45.39,-0.96,0.91,0.17,0.50,0.13,-0.86,711.96
2,113.41,5.69,-0.32,0.43,0.46,0.75,-0.25,-0.88,905.02
3,195.42,145.96,-0.00,-0.14,-0.78,0.48,-0.89,0.34,878.58
4,154.47,39.69,0.94,0.41,-0.45,-0.73,0.02,0.71,426.42
5,181.35,29.42,-0.86,0.55,0.57,-0.89,0.41,0.73,698.14
6,166.01,80.67,0.33,0.70,-0.98,-0.20,-0.22,0.05,163.43
7,113.03,36.47,-0.04,0.11,0.29,-0.05,0.35,-0.61,559.47
8,184.00,54.50,0.76,0.37,-0.34,0.24,0.98,0.00,870.52
9,196.84,18.45,0.63,0.40,0.13,-0.25,-0.40,0.50,739.39
10,105.22,19.96,0.01,-0.60,0.92,0.65,0.64,-0.84,471.86
11,122.56,57.49,-0.70,-0.72,-0.02,0.91,0.79,0.56,613.90
12,75.03,63.01,0.59,-0.92,-0.32,-0.09,-0.56,0.90,954.60
13,94.18,81.32,-0.57,-0.51,0.38,-0.24,0.88,0.66,553.83
14,110.87,16.19,-0.08,0.89,0.11,-0.96,0.63,-0.44,833.59
15,194.13,140.02,0.28,0.35,-0.51,-0.05,0.97,0.20,886.92
16,115.52,45.04,-0.66,-0.24,0.52,-0.63,-0.68,0.69,766.57
17,124.28,89.85,0.36,0.37,-0.30,0.42,-0.95,-0.48,848.33
18,175.52,63.52,-0.10,0.27,-0.02,0.15,0.93,-0.11,431.47
19,189.56,127.03,0.77,-0.51,-0.83,-0.02,0.25,0.03,865.46
20,191.73,147.55,-0.28,-0.87,-0.07,-0.73,0.11,0.82,680.82
21,81.42,27.51,-0.27,0.48,0.66,-0.01,0.04,-0.00,772.00
22,145.56,37.11,0.84,0.61,-0.28,-0.73,-0.13,0.47,593.57
23,183.90,156.91,-0.93,-0.27,0.72,-0.02,-0.98,0.66,967.89
24,168.51,98.96,0.10,0.53,-0.69,0.15,-0.44,-0.40,752.43
25,167.63,38.72,-0.25,0.84,-0.86,-0.77,0.43,0.18,806.11
26,185.24,172.92,-0.95,0.15,0.88,-0.47,-0.45,-0.45,949.32
27,73.99,8.06,0.73,0.52,0.62,0.08,-0.29,0.17,923.66
28,118.38,81.68,-0.83,-0.73,-0.04,0.19,-0.46,-0.14,987.85
29,89.43,75.51,-0.09,-0.51,-0.36,0.20,0.58,-0.17,544.23
30,188.40,17.16,-0.77,0.57,0.57,0.36,-0.72,-0.78,748.19
31,164.76,148.04,-0.73,0.58,-0.49,-0.01,0.12,-0.00,886.14
32,116.57,76.31,0.65,0.49,0.90,-0.88,0.39,0.70,594.93
33,171.22,165.05,0.01,0.11,-0.89,0.05,0.18,0.61,755.04
34,65.91,58.68,-0.38,0.73,-0.84,0.37,-0.88,-0.66,978.01
35,103.25,51.72,-0.85,0.23,0.66,-0.74,-0.97,-0.57,699.43
36,182.64,67.05,-0.82,0.52,-0.39,-0.76,0.01,-0.03,651.06
37,160.41,30.39,-0.99,-0.76,-0.42,-0.61,0.30,-0.17,846.84
38,159.66,144.99,-0.11,-0.78,-0.29,-0.16,-0.13,-0.37,959.27
39,155.20,72.12,0.89,-0.01,0.90,0.62,-0.78,-0.19,304.29
40,154.21,104.59,-0.99,-0.43,-0.14,-0.50,-0.21,-0.21,518.89
41,197.22,47.54,0.66,-0.16,0.88,0.80,0.39,0.57,772.19
42,158.57,66.87,-0.63,0.94,0.17,-0.72,0.96,-0.92,735.76
