mass_1,mass_2,spin_1z,spin_2z,luminosity_distance,theta_jn,phase,geocent_time,ra,dec,psi,log_likelihood,log_prior
36.15822560012709,33.2892037465762,-0.7272528063574129,0.7473605292391305,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,666.2454847546816,-8.553332238032109
33.76380046703436,35.30501303985297,0.2293332221342953,-0.27355347522294504,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,666.4628416192052,-8.553332238032109
30.931293223752,36.155332135003746,0.09247837780242103,0.1376239115318484,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.0232967458307,-8.553332238032109
34.06543704955842,33.350138840652384,-0.10100900486424542,0.31160090744815017,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.5106815938982,-8.553332238032109
35.811728091930654,31.947278243658996,0.5404953716016013,-0.6003422861421152,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.677945704575,-8.553332238032109
36.426514728341765,32.73450445224036,0.5600145957767486,-0.7485685510712191,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.7791916322611,-8.553332238032109
34.244503271416214,34.325284128406224,0.5094756252535673,-0.3686967277808774,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.8048622415793,-8.553332238032109
38.94798561317313,30.37419594314081,0.2213196804538634,-0.48612005257303287,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,667.9177535056158,-8.553332238032109
31.896493437666802,37.261008653832704,-0.4375226253244365,0.37621013456902597,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.2904236228569,-8.553332238032109
34.664922915534476,33.47092801263687,0.2580170721937171,-0.1792496959836931,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.4087150201797,-8.553332238032109
34.15692599779134,34.67248620009904,0.7752183018084287,-0.6304145811889871,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.428881078016,-8.553332238032109
30.140718010396924,36.78416391982187,0.15653038922504758,0.1937833708690011,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.5320000792165,-8.553332238032109
31.72446851044944,35.71132633042631,-0.6279568109810435,0.6601427991660656,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.5493902412967,-8.553332238032109
33.31544668802913,34.68108206294209,-0.37516334966543224,0.529955745966572,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,668.5967487038652,-8.553332238032109
